age,date,gender,country,selfemployed,familyhistory,treatment,workinterfere,remotework,techcompany,benefits,careoptions,wellnessprogram,seekhelp,anonymity,leave,mentalhealthconsequence,physhealthconsequence,coworkers,supervisor,mentalhealthinterview,physhealthinterview,mentalvsphysical,obsconsequence
37,2013,Female,United States,No,No,Yes,Often,No,Yes,Yes,Unsure,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No
44,2013,Male,United States,No,No,No,Rarely,No,No,Unsure,No,Unsure,Unsure,Unsure,Unsure,Maybe,No,No,No,No,No,Unsure,No
32,2013,Male,Canada,No,No,No,Rarely,No,Yes,No,No,No,No,Unsure,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No,No
31,2013,Male,United Kingdom,No,Yes,Yes,Often,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe,No,Yes
31,2013,Male,United States,No,No,No,Never,Yes,Yes,Yes,No,Unsure,Unsure,Unsure,Unsure,No,No,Some of them,Yes,Yes,Yes,Unsure,No
33,2013,Male,United States,No,Yes,No,Sometimes,No,Yes,Yes,Unsure,No,Unsure,Unsure,Unsure,No,No,Yes,Yes,No,Maybe,Unsure,No
35,2013,Female,United States,No,Yes,Yes,Sometimes,Yes,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,Unsure,No
39,2013,Male,Canada,No,No,No,Never,Yes,Yes,No,Yes,No,No,Yes,Unsure,No,No,No,No,No,No,No,No
42,2013,Female,United States,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,No,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No
23,2013,Male,Canada,No,No,No,Never,No,Yes,Unsure,No,Unsure,Unsure,Unsure,Unsure,No,No,Yes,Yes,Maybe,Maybe,Yes,No
31,2013,Male,United States,No,No,Yes,Sometimes,Yes,Yes,Unsure,No,No,No,Unsure,Unsure,No,No,Some of them,Yes,No,No,Unsure,No
29,2013,Male,Bulgaria,No,No,No,Never,Yes,Yes,Unsure,Unsure,No,No,Unsure,Unsure,No,No,Yes,Yes,Yes,Yes,Unsure,No
42,2013,Female,United States,No,Yes,Yes,Sometimes,No,No,Yes,Yes,No,No,Unsure,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes
